R470,X002,ELTINGVILLE PK,Z,SRT,40.5446,-74.164581
R412,B010,BOTANIC GARDEN,S2345,BMT,40.670499,-73.958759
R034,R174,125 ST,1,IRT,40.815596,-73.958395
R334,N035,CATHEDRL-110 ST,BC,IND,40.800637,-73.958201
R334,N034,CATHEDRL-110 ST,BC,IND,40.800637,-73.958201
R123,R622,FRANKLIN AVE,2345S,IRT,40.670711,-73.958051
R411,B009,PARK PLACE,S,BMT,40.67491,-73.957794
R211,B024,KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
R211,B023,KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
R211,B024A,KINGS HIGHWAY,BQ,BMT,40.608691,-73.957772
R460,J002,MARCY AVE,JMZ,BMT,40.708377,-73.957751
R460,J001,MARCY AVE,JMZ,BMT,40.708377,-73.957751
R235,H009,BEDFORD AVE,L,BMT,40.717241,-73.956614
R297,N113,FRANKLIN AVE,ACS,IND,40.681159,-73.956056
R297,N114,FRANKLIN AVE,ACS,IND,40.681159,-73.956056
R150,B025,AVE U,BQ,BMT,40.599307,-73.955916
R179,R250,86 ST,456,IRT,40.779485,-73.955541
R179,R249,86 ST,456,IRT,40.779485,-73.955541
R230,B026,NECK ROAD,BQ,BMT,40.595234,-73.95509
R333,N030,116 ST,BC,IND,40.805072,-73.954833
R333,N029,116 ST,BC,IND,40.805072,-73.954833
R239,N405,GREENPOINT AVE,G,IND,40.731324,-73.954425
R239,N403,GREENPOINT AVE,G,IND,40.731324,-73.954425
R136,B027,SHEEPSHEAD BAY,BQ,BMT,40.58681,-73.954167
R136,B028,SHEEPSHEAD BAY,BQ,BMT,40.58681,-73.954167
R469,TRAM2,RIT-ROOSEVELT,R,RIT,40.7574,-73.954006
R169,R176,137 ST-CITY COL,1,IRT,40.821994,-73.953674
R169,R175,137 ST-CITY COL,1,IRT,40.821994,-73.953674
R276,R504,VERNON/JACKSON,7,IRT,40.742624,-73.953545
R276,R503,VERNON/JACKSON,7,IRT,40.742624,-73.953545
R276,R506,VERNON/JACKSON,7,IRT,40.742624,-73.953545
R352,J003,HEWES ST,JM,BMT,40.706994,-73.953481
R269,N417,BEDFORD/NOSTRAN,G,IND,40.689636,-73.953459
R269,N418,BEDFORD/NOSTRAN,G,IND,40.689636,-73.953459
R259,N602,ROOSEVELT IS,F,IND,40.759123,-73.953266
R102,N026,125 ST,ACBD,IND,40.811056,-73.952386
R102,N025,125 ST,ACBD,IND,40.811056,-73.952386
R323,R301,110 ST-CPN,23,IRT,40.79911,-73.951807
R268,H012,LORIMER ST,GL,BMT,40.713875,-73.951592
R268,N409,METROPOLITAN AV,GL,IND,40.713875,-73.951592
R256,N408A,NASSAU AV,G,IND,40.724608,-73.951271
R144,R251,96 ST,6,IRT,40.785822,-73.95097
R277,R635,PRESIDENT ST,25,IRT,40.667879,-73.950648
R209,R636,STERLING ST,25,IRT,40.662752,-73.950605
R061,R623,NOSTRAND AVE,3,IRT,40.669735,-73.950455
R273,R178,145 ST,1,IRT,40.826426,-73.950412
R273,R177,145 ST,1,IRT,40.826426,-73.950412
R299,N412,BROADWAY,G,IND,40.7061,-73.950348
R198,N116,NOSTRAND AVE,AC,IND,40.68041,-73.950326
R198,N117,NOSTRAND AVE,AC,IND,40.68041,-73.950326
R316,N414,FLUSHING AVE,G,IND,40.700374,-73.950284
R316,N414A,FLUSHING AVE,G,IND,40.700374,-73.950284
R451,R637,WINTHROP ST,25,IRT,40.656648,-73.950198
R360,N401,VAN ALSTON-21ST,G,IND,40.743973,-73.949876
R324,R303,116 ST,23,IRT,40.802098,-73.949625
R324,R302,116 ST,23,IRT,40.802098,-73.949625
R109,R639,CHURCH AVE,25,IRT,40.650843,-73.949575
R286,N415,MYRTLE-WILLOUGH,G,IND,40.694568,-73.949046
R286,N416,MYRTLE-WILLOUGH,G,IND,40.694568,-73.949046
R210,R641,BEVERLY ROAD,25,IRT,40.645089,-73.948975
R134,R507,HUNTERS PT AVE,7,IRT,40.74238,-73.948889
R135,R643,NEWKIRK AVE,25,IRT,40.639961,-73.948352
R135,R644,NEWKIRK AVE,25,IRT,40.639961,-73.948352
R332,N024,135 ST,BC,IND,40.817902,-73.947644
R332,N023,135 ST,BC,IND,40.817902,-73.947644
R332,N022,135 ST,BC,IND,40.817902,-73.947644
R110,R645,FLATBUSH AVE,25,IRT,40.632836,-73.947642
R110,R646,FLATBUSH AVE,25,IRT,40.632836,-73.947642
R110,R647,FLATBUSH AVE,25,IRT,40.632836,-73.947642
R180,R252,103 ST,6,IRT,40.790582,-73.947473
R353,J005,LORIMER ST,JM,BMT,40.703855,-73.947387
R206,R304,125 ST,23,IRT,40.808076,-73.945906
R206,R305,125 ST,23,IRT,40.808076,-73.945906
R346,R508,COURT SQ,7,IRT,40.747029,-73.94537
R359,N307,COURT SQ-23 ST,EMG,IND,40.747257,-73.945112
R359,N400,COURT SQ,EMG,IND,40.747257,-73.945112
R359,N400A,COURT SQ,EMG,IND,40.747257,-73.945112
R193,R180,157 ST,1,IRT,40.833879,-73.944726
R193,R179,157 ST,1,IRT,40.833879,-73.944726
R181,R253,110 ST,6,IRT,40.795066,-73.944297
R181,R254,110 ST,6,IRT,40.795066,-73.944297
R101,N020,145 ST,ABCD,IND,40.824787,-73.944232
R101,N019,145 ST,ABCD,IND,40.824787,-73.944232
R249,H014,GRAHAM AVE,L,BMT,40.71459,-73.944104
R249,H013,GRAHAM AVE,L,BMT,40.71459,-73.944104
R303,N603,21 ST,F,IND,40.7541,-73.94258
R124,R624,KINGSTON AVE,3,IRT,40.669409,-73.942173
R377,J007,FLUSHING AVE,JM,BMT,40.700244,-73.941658
R182,R256,116 ST,6,IRT,40.798574,-73.941593
R182,R257,116 ST,6,IRT,40.798574,-73.941593
R331,N017,155 ST,C,IND,40.830551,-73.941486
R207,R306,135 ST,23,IRT,40.814459,-73.940992
R207,R307,135 ST,23,IRT,40.814459,-73.940992
R199,N119,KINGSTON-THROOP,C,IND,40.679921,-73.940858
R199,N118,KINGSTON-THROOP,C,IND,40.679921,-73.940858
R250,H016,GRAND ST,L,BMT,40.711874,-73.94067
R250,H015,GRAND ST,L,BMT,40.711874,-73.94067
R121,R509,QUEENSBORO PLZ,7NQ,IRT,40.750508,-73.940177
R035,N012,168 ST-BROADWAY,1AC,IND,40.840778,-73.940091
R035,N013,168 ST-BROADWAY,AC1,IND,40.840778,-73.940091
R035,R182,168 ST-BROADWAY,1AC,IRT,40.840778,-73.940091
R265,H017,MONTROSE AVE,L,BMT,40.707889,-73.940005
R296,N016A,163 ST-AMSTERDM,C,IND,40.835957,-73.939898
R126,N010,175 ST,A,IND,40.847369,-73.939683
R126,N011,175 ST,A,IND,40.847369,-73.939683
R315,N202,155 ST,BD,IND,40.829934,-73.938632
R174,N007A,181 ST,A,IND,40.851686,-73.937967
R174,N009,181 ST,A,IND,40.851686,-73.937967
R132,R258,125 ST,456,IRT,40.804406,-73.937452
R140,N309A,QUEENS PLAZA,EMR,IND,40.748948,-73.937194
R140,N310,QUEENS PLAZA,EMR,IND,40.748948,-73.937194
R345,R309,148 ST-LENOX,3,IRT,40.823877,-73.936443
R344,R308,145 ST,3,IRT,40.820402,-73.936315
R378,J009,MYRTLE AVE,JMZ,BMT,40.697266,-73.935692
R280,N006A,190 ST,A,IND,40.859022,-73.93419
R260,R183,181 ST,1,IRT,40.849495,-73.933632
R294,H019,MORGAN AVE,L,BMT,40.706148,-73.93316
R062,R626,CROWN HTS-UTICA,34,IRT,40.669279,-73.932967
R062,R625,CROWN HTS-UTICA,34,IRT,40.669279,-73.932967
R090,R510,BEEBE-39 AVE,NQ,BMT,40.753076,-73.93271
R291,R516,33 ST/RAWSON ST,7,IRT,40.744558,-73.930993
R291,R517,33 ST/RAWSON ST,7,IRT,40.744558,-73.930993
R153,N120,UTICA AVE,AC,IND,40.679279,-73.930585
R153,N120A,UTICA AVE,AC,IND,40.679279,-73.930585
R307,R259,138 ST-GR CONC,45,IRT,40.813208,-73.929877
R274,R185,191 ST,1,IRT,40.855176,-73.929384
R091,R511,WASHINGTON-36 A,NQ,BMT,40.756977,-73.929373
R379,J012,KOSCIUSZKO ST,J,BMT,40.693329,-73.928826
R339,N312,36 ST,MR,IND,40.75202,-73.92874
R339,N311,36 ST,MR,IND,40.75202,-73.92874
R401,K017,CENTRAL AVE,M,BMT,40.697673,-73.927131
R185,N003,DYCKMAN-200 ST,A,IND,40.865286,-73.92698
R205,R261,149 ST-GR CONC,245,IRT,40.818429,-73.926927
R205,R260,149 ST-GR CONC,245,IRT,40.818429,-73.926927
R445,R401,138 ST-3 AVE,6,IRT,40.810512,-73.926165
R195,N203,161 ST-YANKEE,BD4,IND,40.827888,-73.925736
R195,N204,161 ST-YANKEE,BD4,IND,40.827888,-73.925736
R195,N205,161 ST-YANKEE,BD4,IND,40.827888,-73.925736
R195,R262,161 ST-YANKEE,BD4,IRT,40.827888,-73.925736
R195,R262A,161 ST-YANKEE,4BD,IRT,40.827888,-73.925736
R195,R262B,161 ST-YANKEE,4BD,IRT,40.827888,-73.925736
R036,R186,DYCKMAN ST,1,IRT,40.860523,-73.925575
R092,R512,BROADWAY-31 ST,NQ,BMT,40.761959,-73.925382
R261,R518,40 ST-LOWERY ST,7,IRT,40.743778,-73.923998
R279,H022,JEFFERSON ST,L,BMT,40.706636,-73.922925
R063,R627,SUTTER AVE,3,IRT,40.664591,-73.922668
R380,J013,GATES AVE,JZ,BMT,40.689652,-73.922281
R093,R513,GRAND-30 AVE,NQ,BMT,40.766843,-73.921423
R221,R283,167 ST,4,IRT,40.835535,-73.92138
R438,N121B,RALPH AVE,C,IND,40.678815,-73.920801
R238,N315,STEINWAY ST,MR,IND,40.756864,-73.920736
R238,N314,STEINWAY ST,MR,IND,40.756864,-73.920736
R173,N002A,INWOOD-207 ST,A,IND,40.868045,-73.919921
R173,N001,INWOOD-207 ST,A,IND,40.868045,-73.919921
R413,K019,KNICKERBOCKER,M,BMT,40.698666,-73.919685
R446,R402,BROOK AVE,6,IRT,40.808044,-73.919234
R446,R403,BROOK AVE,6,IRT,40.808044,-73.919234
R037,R188,207 ST,1,IRT,40.864653,-73.918719
R236,H023,DEKALB AVE,L,BMT,40.703839,-73.91844
R104,N207,167 ST,BD,IND,40.833773,-73.91843
R104,N206,167 ST,BD,IND,40.833773,-73.91843
R223,R519,46 ST-BLISS ST,7,IRT,40.743079,-73.918419
R223,R520,46 ST-BLISS ST,7,IRT,40.743079,-73.918419
R243,R284,170 ST,4,IRT,40.840048,-73.917775
R053,R311,149 ST-3 AVE,25,IRT,40.816132,-73.917754
R053,R310,149 ST-3 AVE,25,IRT,40.816132,-73.917754
R094,R514,HOYT ST-ASTORIA,NQ,BMT,40.770426,-73.917614
R381,J016,HALSEY ST,J,BMT,40.68617,-73.916337
R064,R628,SARATOGA AVE,3,IRT,40.661466,-73.916316
R038,R190,215 ST,1,IRT,40.869359,-73.915329
R308,R285,MT EDEN AVE,4,IRT,40.844406,-73.914621
R447,R404,CYPRESS AVE,6,IRT,40.805737,-73.914471
R447,R405,CYPRESS AVE,6,IRT,40.805737,-73.914471
R443,N209,170 ST,BD,IND,40.839301,-73.913355
R443,N208,170 ST,BD,IND,40.839301,-73.913355
R267,N316,46 ST,MR,IND,40.756312,-73.913333
R267,N316A,46 ST,MR,IND,40.756312,-73.913333
R267,N317,46 ST,MR,IND,40.756312,-73.913333
R309,R286,176 ST,4,IRT,40.848635,-73.912497
R327,R521,52 ST-LINCOLN,7,IRT,40.744103,-73.912497
R095,R515,DITMARS BL-31 S,NQ,BMT,40.774984,-73.912067
R439,N122,ROCKAWAY AVE,C,IND,40.67836,-73.911939
R439,N123B,ROCKAWAY AVE,C,IND,40.67836,-73.911939
R137,H026,MYRTLE AVE,LM,BMT,40.699707,-73.91181
R137,H027,MYRTLE AVE,LM,BMT,40.699707,-73.91181
R432,J017,CHAUNCEY ST,JZ,BMT,40.682867,-73.91048
R039,R192,MARBLE HILL-225,1,IRT,40.874551,-73.909879
R065,R629,ROCKAWAY AVE,3,IRT,40.662541,-73.908763
R405,R312,JACKSON AVE,25,IRT,40.816505,-73.907797
R402,K022,SENECA AVE,M,BMT,40.702798,-73.907776
R244,R287,BURNSIDE AVE,4,IRT,40.85339,-73.907733
R448,R406,E 143 ST,6,IRT,40.808742,-73.90769
R448,R407,E 143 ST,6,IRT,40.808742,-73.90769
R298,N318,NORTHERN BLVD,MR,IND,40.752898,-73.905973
R298,N319,NORTHERN BLVD,MR,IND,40.752898,-73.905973
R313,H033,BUSHWICK AVE,L,BMT,40.682558,-73.905501
R154,N213,TREMONT AVE,BD,IND,40.850307,-73.905244
R154,N214,TREMONT AVE,BD,IND,40.850307,-73.905244
R040,R194,231 ST,1,IRT,40.878867,-73.904858
R103,N124,BROADWAY-ENY,ACJLZ,IND,40.678848,-73.904139
R449,R408,E 149 ST,6,IRT,40.812104,-73.904085
R449,R409,E 149 ST,6,IRT,40.812104,-73.904085
R266,H028,HALSEY ST,L,BMT,40.695607,-73.904021
R266,H030,HALSEY ST,L,BMT,40.695607,-73.904021
R295,H032,WILSON AVE,L,BMT,40.688676,-73.903999
R275,R288,183 ST,4,IRT,40.858389,-73.903828
R403,K024,FOREST AVE,M,BMT,40.704424,-73.903077
R147,R523,61 ST/WOODSIDE,7,IRT,40.745623,-73.902969
R348,H035,ATLANTIC AVE,L,BMT,40.675496,-73.902819
R066,R630,JUNIUS ST,3,IRT,40.663419,-73.902454
R349,H037,SUTTER AVE,L,BMT,40.669376,-73.902047
R152,H041,ROCKAWAY PKY,L,BMT,40.64666,-73.901832
R406,R314,PROSPECT AVE,25,IRT,40.819396,-73.901467
R406,R315,PROSPECT AVE,25,IRT,40.819396,-73.901467
R119,R289,FORDHAM ROAD,4,IRT,40.862941,-73.901199
R112,N217,FORDHAM ROAD,BD,IND,40.862803,-73.901034
R112,N218,FORDHAM ROAD,BD,IND,40.862803,-73.901034
R306,R196,238 ST,1,IRT,40.884821,-73.900759
R237,N215,182-183 ST,BD,IND,40.856085,-73.900695
R350,H038,LIVONIA AVE,L,BMT,40.663801,-73.900444
R376,H040,EAST 105 ST,L,BMT,40.650625,-73.899558
R375,H039,NEW LOTS AVE,L,BMT,40.658748,-73.899472
R433,J020,ALABAMA AVE,J,BMT,40.677107,-73.898871
R117,R197,242 ST,1,IRT,40.889185,-73.898549
R340,N322,65 ST,MR,IND,40.749663,-73.898485
R161,R290,KINGSBRIDGE RD,4,IRT,40.867899,-73.897326
R407,R316,INTERVALE-163,25,IRT,40.822172,-73.896747
R440,N125,LIBERTY AVE,C,IND,40.674552,-73.896554
R347,R524,69 ST-FISK AVE,7,IRT,40.746325,-73.896403
R450,R410,LONGWOOD AVE,6,IRT,40.816083,-73.89606
R450,R411,LONGWOOD AVE,6,IRT,40.816083,-73.89606
R404,K025,FRESH POND ROAD,M,BMT,40.706181,-73.89591
R067,R632,PENNSYLVANIA AV,3,IRT,40.664884,-73.894258
R155,N221,KINGSBRIDGE RD,BD,IND,40.866974,-73.893485
R155,N220,KINGSBRIDGE RD,BD,IND,40.866974,-73.893485
R408,R318,SIMPSON ST,25,IRT,40.82417,-73.893228
R408,R317,SIMPSON ST,25,IRT,40.82417,-73.893228
R409,R320,FREEMAN ST,25,IRT,40.829966,-73.891876
R409,R319,FREEMAN ST,25,IRT,40.829966,-73.891876
R434,J021,VAN SICLEN AVE,JZ,BMT,40.678018,-73.891726
R018,N324,ROOSEVELT AVE,EFMR7,IND,40.746655,-73.891361
R018,N323,ROOSEVELT AVE,EFMR7,IND,40.746655,-73.891361
R018,R525,74 ST-BROADWAY,EFMR7,IRT,40.746655,-73.891361
R146,R412,HUNTS POINT AVE,6,IRT,40.820889,-73.890567
R441,N126,VAN SICLEN AVE,C,IND,40.672786,-73.890438
R183,R291,BEDFORD PARK BL,4,IRT,40.873399,-73.890084
R100,K026,METROPOLITAN AV,M,BMT,40.711353,-73.88958
R068,R633,VAN SICLEN AVE,3,IRT,40.665405,-73.889451
R386,R322,174 ST,25,IRT,40.837382,-73.887659
R386,R321,174 ST,25,IRT,40.837382,-73.887659
R156,N222,BEDFORD PARK BL,BD,IND,40.873026,-73.886919
R156,N223,BEDFORD PARK BL,BD,IND,40.873026,-73.886919
R325,R413,WHITLOCK AVE,6,IRT,40.826508,-73.886425
R435,J022,CLEVELAND ST,J,BMT,40.679938,-73.884687
R133,R293,MOSHOLU PARKWAY,4,IRT,40.87963,-73.884666
R069,R634,NEW LOTS AVE,3,IRT,40.666252,-73.884087
R096,R526,82 ST-JACKSON H,7,IRT,40.747647,-73.883786
R218,N325A,ELMHURST AVE,MR,IND,40.742445,-73.882005
R442,N127,SHEPHERD AVE,C,IND,40.674161,-73.880761
R436,J023,NORWOOD AVE,JZ,BMT,40.681598,-73.880074
R387,R323,E TREMONT AVE,25,IRT,40.840097,-73.879774
R387,R323A,E TREMONT AVE,25,IRT,40.840097,-73.879774
R162,R414,ELDER AVE,6,IRT,40.828894,-73.879559
R157,N224,NORWOOD-205 ST,D,IND,40.874827,-73.878872
R157,N225,NORWOOD-205 ST,D,IND,40.874827,-73.878872
R052,R294,WOODLAWN ROAD,4,IRT,40.885973,-73.878851
R254,N327,GRAND AV-NEWTON,MR,IND,40.736998,-73.877242
R122,R527,90 ST-ELMHURST,7,IRT,40.748541,-73.876791
R120,R415,MORRISON AVE,6,IRT,40.829495,-73.874559
R437,J024,CRESCENT ST,JZ,BMT,40.683209,-73.873765
R388,R325,E 180 ST,25,IRT,40.841882,-73.873551
R003,J025,CYPRESS HILLS,J,BMT,40.689945,-73.872564
R200,N128,EUCLID AVE,AC,IND,40.675382,-73.87207
R538,LGA01,LGA AIRPORT CTB,7,IRT,40.774702,-73.871189
R097,R528,JUNCTION BLVD,7,IRT,40.749143,-73.869452
R201,N329,WOODHAVEN BLVD,MR,IND,40.73308,-73.869259
R201,N329A,WOODHAVEN BLVD,MR,IND,40.73308,-73.869259
R389,R326,BRONX PARK EAST,25,IRT,40.848797,-73.868465
R245,R416,ST LAWRENCE AVE,6,IRT,40.8315,-73.867623
R361,R328,PELHAM PARKWAY,25,IRT,40.857188,-73.867607
R361,R327,PELHAM PARKWAY,25,IRT,40.857188,-73.867607
R362,R329,ALLERTON AVE,25,IRT,40.865481,-73.867393
R004,J028,ELDERTS LANE,JZ,BMT,40.69132,-73.867135
R363,R330,BURKE AVE,25,IRT,40.871387,-73.867135
R226,R728,GUN HILL ROAD,5,IRT,40.877796,-73.866341
R364,R331,GUN HILL ROAD,25,IRT,40.877796,-73.866255
R382,N129,GRANT AVE,A,IND,40.677107,-73.865376
R365,R332,219 ST,25,IRT,40.883767,-73.862736
R208,R529,103 ST-CORONA,7,IRT,40.749858,-73.862672
R202,N330B,63 DR-REGO PARK,MR,IND,40.729869,-73.86161
R202,N330C,63 DR-REGO PARK,MR,IND,40.729869,-73.86161
R329,R726,MORRIS PARK,5,IRT,40.854137,-73.860977
R222,R417,E 177 ST-PARKCH,6,IRT,40.833246,-73.860805
R366,R333,225 ST,25,IRT,40.887887,-73.860505
R005,J030,FOREST PARKWAY,J,BMT,40.692304,-73.860151
R383,N131,HUDSON-80 ST,A,IND,40.679369,-73.85896
R383,N130,HUDSON-80 ST,A,IND,40.679369,-73.85896
R367,R334,233 ST,25,IRT,40.893386,-73.857265
R430,R727,PELHAM PARKWAY,5,IRT,40.858973,-73.855355
R310,R530,111 ST,7,IRT,40.75176,-73.855183
R444,R335,NEREID AVE,25,IRT,40.898382,-73.854389
R219,N331,67 AVE,MR,IND,40.726462,-73.85263
R219,N332,67 AVE,MR,IND,40.726462,-73.85263
R006,J031,WOODHAVEN BLVD,JZ,BMT,40.693866,-73.851568
R006,J032,WOODHAVEN BLVD,JZ,BMT,40.693866,-73.851568
R384,N133,BOYD-88 ST,A,IND,40.679857,-73.851492
R106,R418,CASTLE HILL AVE,6,IRT,40.834255,-73.851222
R145,R336,WAKEFIELD-241,2,IRT,40.903085,-73.850591
R326,R419,ZEREGA AVE,6,IRT,40.83646,-73.846471
R328,R532,METS-WILLETS PT,7,IRT,40.754622,-73.845625
R328,R532G,METS-WILLETS PT,7,IRT,40.754622,-73.845625
R328,R532H,METS-WILLETS PT,7,IRT,40.754622,-73.845625
R141,N333A,FOREST HILLS-71,EFMR,IND,40.721681,-73.84439
R141,N333,FOREST HILLS-71,EFMR,IND,40.721681,-73.84439
R141,N333B,FOREST HILLS-71,EFMR,IND,40.721681,-73.84439
R007,J034,104 ST,JZ,BMT,40.695184,-73.844326
R385,N134,ROCKAWAY BLVD,A,IND,40.680429,-73.843853
R385,N135,ROCKAWAY BLVD,A,IND,40.680429,-73.843853
R107,R420,WESTCHESTER SQ,6,IRT,40.839892,-73.842952
R292,R729,BAYCHESTER AVE,5,IRT,40.878656,-73.838596
R354,N137,OXFORD-104 ST,A,IND,40.681745,-73.837631
R419,N187,ROCKAWAY PK 116,AS,IND,40.580454,-73.837459
R341,N334B,75 AVE,EF,IND,40.718477,-73.837223
R427,R421,MIDDLETOWN ROAD,6,IRT,40.843635,-73.836687
R008,J035,111 ST,J,BMT,40.697405,-73.836354
R357,N181,AQUEDUCT-N CNDT,A,IND,40.668234,-73.834058
R464,N181A,AQUEDUCT TRACK,A,IND,40.668221,-73.834026
R428,R422,BUHRE AVE,6,IRT,40.846817,-73.832545
R355,N139,GREENWOOD-111,A,IND,40.684364,-73.832181
R355,N138,GREENWOOD-111,A,IND,40.684364,-73.832181
R158,N336,UNION TPK-KEW G,EF,IND,40.714444,-73.830979
R158,N335,UNION TPK-KEW G,EF,IND,40.714444,-73.830979
R431,R730,DYRE AVE,5,IRT,40.888244,-73.83085
R414,N182,HOWARD BCH-JFK,A,IND,40.660476,-73.830301
R414,N182A,HOWARD BCH-JFK,A,IND,40.660476,-73.830301
R535,JFK01,JFK HOWARD BCH,A,IND,40.660476,-73.830301
R535,JFK02,JFK HOWARD BCH,A,IND,40.660476,-73.830301
R055,R533,MAIN ST,7,IRT,40.759578,-73.830056
R055,R534,MAIN ST,7,IRT,40.759578,-73.830056
R009,J037,121 ST,JZ,BMT,40.700536,-73.828382
R429,R423,PELHAM BAY PARK,6,IRT,40.852465,-73.828125
R459,OB01,ORCHARD BEACH,6,IND,40.852417,-73.828082
R418,N186,BEACH 105 ST,AS,IND,40.583542,-73.82643
R356,N141,LEFFERTS BLVD,A,IND,40.685975,-73.824713
R255,N337,VAN WYCK BLVD,EF,IND,40.709174,-73.820593
R417,N185,BEACH 98 ST,AS,IND,40.585514,-73.820143
R342,N604,JAMAICA-VAN WYC,E,IND,40.702566,-73.816859
R415,N183,BROAD CHANNEL,AS,IND,40.608693,-73.816068
R416,N184,BEACH 90 ST,AS,IND,40.588032,-73.813684
R128,N338B,SUTPHIN BLVD,F,IND,40.705416,-73.810562
R128,N338,SUTPHIN BLVD,F,IND,40.705416,-73.810562
R024,N605,SUTPHIN BLVD,EJZ,IND,40.700488,-73.807933
R114,N339A,PARSONS BLVD,F,IND,40.707564,-73.803326
R114,N339,PARSONS BLVD,F,IND,40.707564,-73.803326
R025,N606,JAMAICA CENTER,EJZ,IND,40.702131,-73.80111
R025,N607,JAMAICA CENTER,EJZ,IND,40.702131,-73.80111
R335,N191,BEACH 67 ST,A,IND,40.590867,-73.797011
R115,N340,169 ST,F,IND,40.710459,-73.7936
R115,N340A,169 ST,F,IND,40.710459,-73.7936
R336,N192,BEACH 60 ST,A,IND,40.592334,-73.788493
R019,N343,JAMAICA-179 ST,F,IND,40.712622,-73.783815
R019,N342,JAMAICA-179 ST,F,IND,40.712622,-73.783815
R536,JFK03,JFK JAMAICA CT1,E,IND,40.643942,-73.782356
R537,JFK04,JFK JAMAICA CT2,E,IND,40.643942,-73.782356
R337,N193,BEACH 44 ST,A,IND,40.593214,-73.776433
R338,N194,BEACH 36 ST,A,IND,40.595381,-73.768194
R358,N195,BEACH 25 ST,A,IND,40.600138,-73.76152
R285,N196,FAR ROCKAWAY,A,IND,40.603983,-73.755383
R253,N210,174-175 ST,BD,IND,40.845892,-73.910136
R253,N212,174-175 ST,BD,IND,40.845892,-73.910136
R001,A060,WHITEHALL ST,R1,BMT,40.703082,-74.012983
R001,A058,WHITEHALL ST,R1,BMT,40.703082,-74.012983
R001,R101S,SOUTH FERRY,R1,IRT,40.703082,-74.012983
R532,WCCTR,WEST COUNTY CTR,5,BEE,,
R457,MCB1,METROCARD BUS 1,23,BMT,,
R458,MCB2,METROCARD BUS 2,23,BMT,,
R465,MCV1,METROCARD VAN-1,1,BMT,,
R466,MCV2,METROCARD VAN-2,1,BMT,,
R467,MCV3,METROCARD VAN-3,1,BMT,,
R410,X001,NYC & CO - 7 AV,1,IRT,,
R526,LI001,LIB-HEMPSTEAD,F,LIB,,
R541,PTH13,THIRTY ST,1,PTH,,
R546,PTH06,PAVONIA/NEWPORT,1,PTH,,
R547,PTH10,9TH STREET,1,PTH,,
R548,PTH09,CHRISTOPHER ST,1,PTH,,
R549,PTH01,NEWARK HW BMEBE,1,PTH,,
R549,PTH18,NEWARK BM BW,1,PTH,,
R549,PTH19,NEWARK C,1,PTH,,
R549,PTH20,NEWARK HM HE,1,PTH,,
R550,PTH07,CITY / BUS,1,PTH,,
R550,PTH16,LACKAWANNA,1,PTH,,
